Entity,Code,Year,Commute one-way min
Austria,AUT,2015,39.6
Belgium,BEL,2015,48.2
Bulgaria,BGR,2015,33.4
Croatia,HRV,2015,37.9
Cyprus,CYP,2015,22.4
Czechia,CZE,2015,35.7
Denmark,DNK,2015,48.3
Estonia,EST,2015,42.2
Finland,FIN,2015,48.5
France,FRA,2015,44.9
Germany,DEU,2015,45.3
Greece,GRC,2015,32.6
Hungary,HUN,2015,43.5
Ireland,IRL,2015,48.4
Italy,ITA,2015,28.0
Latvia,LVA,2015,48.9
Lithuania,LTU,2015,34.4
Luxembourg,LUX,2015,45.2
Malta,MLT,2015,43.4
Netherlands,NLD,2015,45.1
Poland,POL,2015,35.7
Portugal,PRT,2015,25.4
Romania,ROU,2015,40.3
Slovakia,SVK,2015,34.1
Slovenia,SVN,2015,39.9
Spain,ESP,2015,36.8
Sweden,SWE,2015,50.0
United Kingdom,GBR,2015,52.5
