Entity,Year,Alone,With friends,With children,With family,With partner,With coworkers
All people,15,3.6823711,1.535781,0.34252667,4.2856,0,0.1601035
All people,16,3.9115822,1.4323128,0.4073105,4.085357,0.0015612968,0.44434384
All people,17,4.1004124,1.7911551,0.41837686,3.704296,0.015116782,0.7571204
All people,18,4.5380898,1.9524652,0.46425775,3.7485743,0.0929456,1.3097771
All people,19,5.089078,1.8031272,0.4362604,3.021467,0.31108212,2.0831554
All people,20,5.1352544,1.7619115,0.7204244,2.9438725,0.38421685,2.2674994
All people,21,4.977665,1.834591,0.96823,2.562343,0.8298508,2.4781845
All people,22,5.336074,1.4345136,1.0153607,2.2287126,0.8301114,2.6828787
All people,23,4.9302807,1.503806,1.372267,2.045577,1.35775,3.1125133
All people,24,4.820935,1.4293581,1.4569029,1.7884793,1.6674548,3.263429
All people,25,5.166253,1.0780149,1.7131166,1.5634179,1.9074014,3.0703776
All people,26,5.1301584,1.162188,1.7995402,1.4351236,2.3057876,3.191165
All people,27,4.7966976,1.0891083,2.2893476,1.3731755,2.5684388,3.2526355
All people,28,4.8286715,0.91720164,2.7681513,1.2138612,2.7888315,3.1881652
All people,29,4.8250856,0.89121395,2.9467337,1.310107,2.865851,3.0647693
All people,30,4.718005,0.7613488,3.108729,1.0557982,2.9939716,3.285558
All people,31,4.7825766,0.78545856,3.4859197,1.127229,3.3840265,2.899743
All people,32,4.785285,0.7174313,3.618133,0.98132306,3.2481837,3.0996234
All people,33,4.5681214,0.7364724,4.1587467,0.99715215,3.4037163,2.7872624
All people,34,4.741513,0.57720494,4.121396,1.0655075,3.3576856,2.9044538
All people,35,4.7230124,0.5865635,4.2005267,0.90246046,3.4507945,2.9475396
All people,36,4.9546175,0.5893164,4.1007915,0.9983324,3.2292042,2.760397
All people,37,4.8378553,0.630214,4.0902014,0.9220859,3.3873212,2.8879576
All people,38,4.8320885,0.58932203,4.166225,0.91499984,3.3346283,2.9722357
All people,39,5.005917,0.50674504,4.2957425,0.8957795,3.5763144,2.715318
All people,40,5.1712193,0.5023995,3.9013069,0.7984253,3.2869353,2.8753939
All people,41,5.2687693,0.5192883,3.988606,0.8866033,3.2419965,2.7935874
All people,42,5.3224244,0.57956696,3.660048,0.7887114,3.1813664,2.960478
All people,43,5.6202903,0.5858448,3.6075296,0.8683357,3.182782,2.6104558
All people,44,5.618265,0.5481768,3.5401933,0.8377524,3.2589123,2.6953425
All people,45,5.4692345,0.5253485,3.4105108,0.88698107,3.0635996,2.8865573
All people,46,5.8910613,0.5443685,3.0696719,0.89504725,3.2047546,2.5540438
All people,47,5.980712,0.5544684,2.8170936,0.8898898,2.9975724,2.6815653
All people,48,5.850274,0.46534044,2.5686228,0.9280376,3.2517123,2.7117643
All people,49,6.0257683,0.5567191,2.3032105,0.90404606,3.113355,2.9272726
All people,50,6.557182,0.41199195,2.2416055,1.0413381,2.9040043,2.5228906
All people,51,6.332275,0.5362014,2.065763,1.0138423,3.1011457,2.7235038
All people,52,6.5315876,0.47180519,1.733341,1.053607,3.170779,2.7837155
All people,53,6.583707,0.45870188,1.7311345,0.92713624,3.0768635,2.6313064
All people,54,6.519113,0.5098107,1.4840652,0.9580731,2.9779737,2.8003836
All people,55,6.747812,0.50497186,1.4262308,1.0093313,3.1094534,2.428148
All people,56,6.6691685,0.6099959,1.2937095,1.093001,3.3279667,2.4321036
All people,57,6.9277654,0.4641938,1.2503729,0.9541048,3.0650997,2.4965897
All people,58,7.0262513,0.54272914,1.0828629,1.105859,3.0610685,2.2101493
All people,59,7.116824,0.43481466,1.1282853,1.0356916,3.3607,2.1718438
All people,60,7.201083,0.5261063,1.0435668,1.0534945,3.3342354,2.0446901
All people,61,7.011235,0.4677273,1.1009907,0.98855346,3.5194786,2.041755
All people,62,7.3489842,0.4542108,1.0113631,0.9776027,3.6920898,1.4605905
All people,63,7.4830074,0.49819976,0.9437183,1.0469835,3.5843575,1.3948193
All people,64,7.5602317,0.5007605,0.9064246,0.9690788,3.7496674,1.3314041
All people,65,7.6411753,0.50642973,0.9230866,1.0774366,3.942857,0.99433273
All people,66,7.39068,0.55420476,0.9630701,1.1219771,4.1784678,0.81076735
All people,67,7.4325876,0.55477923,0.94143283,0.92317605,4.3227873,0.6366517
All people,68,7.5879745,0.596319,0.85598665,0.8989891,4.223339,0.64390445
All people,69,7.5360446,0.56551975,1.0267284,0.957611,4.496136,0.4289269
All people,70,7.700796,0.6343429,0.87093467,0.8961862,4.199,0.44426137
All people,71,7.6769695,0.59096026,0.9392386,0.91605055,4.4188194,0.31652108
All people,72,7.980868,0.5828744,0.735342,0.9245673,4.3114257,0.30392313
All people,73,7.8918905,0.48637053,0.8829385,0.8458128,4.345299,0.3086794
All people,74,7.7984357,0.52288926,0.80473524,0.8980563,4.2926908,0.25046706
All people,75,7.794711,0.56241566,0.83023655,0.8587403,4.2489867,0.26924726
All people,76,7.6357117,0.5384031,0.7159571,0.7879729,4.535059,0.26214743
All people,77,7.7199826,0.46447426,0.796351,1.0354593,4.458114,0.16058943
All people,78,7.8286204,0.576243,0.6921542,0.9557144,4.340687,0.058612958
All people,79,8.036639,0.62894434,0.61845887,0.78502196,4.1688104,0.09308862
All people,80,7.98213,0.52761006,0.6946772,0.9625531,3.8416266,0.099430904
Men,15,3.910415,1.575307,0.2485009,4.1149764,0,0.20407158
Men,16,4.184009,1.4380484,0.32606304,3.8758006,0.0028366747,0.46623182
Men,17,4.6243143,1.902747,0.23823474,3.2173405,0.00008805606,0.8607645
Men,18,5.093486,1.8771129,0.3195584,3.213228,0.08767435,1.5207447
Men,19,5.6306624,2.0587013,0.18983383,2.5432203,0.31390974,2.1506324
Men,20,5.6567683,1.7991191,0.3579979,2.6322207,0.23500593,2.5684845
Men,21,5.5024014,2.3057637,0.4920217,2.1242218,0.6196033,2.7540066
Men,22,6.010506,1.6650211,0.532533,1.9705181,0.6247923,2.8102329
Men,23,5.488033,1.7370249,0.69681764,1.9265043,1.2710254,3.125851
Men,24,5.35345,1.7947216,0.62658656,1.6773107,1.3879261,3.7373807
Men,25,5.7947245,1.3212011,1.0080142,1.4858124,1.7441752,3.5717952
Men,26,5.8156676,1.3045479,0.96880925,1.3431783,2.0122395,3.6300929
Men,27,5.43972,1.2393384,1.4753604,1.2629285,2.3498456,3.58085
Men,28,5.4694524,1.0881021,1.6350249,1.0665777,2.625202,3.9049902
Men,29,5.485214,1.0445162,1.6595004,1.0548297,2.8008885,3.7584474
Men,30,5.2890944,0.89544904,1.6845037,0.9553756,2.9213436,4.1251254
Men,31,5.406324,0.871717,2.4061437,1.0534639,3.4001338,3.4771948
Men,32,5.4543653,0.86932975,2.314391,0.80909884,3.2583706,3.7678852
Men,33,5.019581,0.83380914,3.1418886,0.9332657,3.5467224,3.3945563
Men,34,5.323258,0.6465661,2.8522398,1.0554149,3.2725904,3.7740445
Men,35,5.2290096,0.61742806,3.1762114,0.72939575,3.6573026,3.5320652
Men,36,5.401685,0.74101216,3.024598,0.85856956,3.1789048,3.482688
Men,37,5.225249,0.7308815,3.126966,0.73196757,3.5999918,3.6087298
Men,38,5.350584,0.7132123,3.329577,0.76234424,3.479513,3.5880494
Men,39,5.5126505,0.50083524,3.509087,0.80804247,3.9123187,3.0669174
Men,40,5.4972143,0.51787704,3.118646,0.7045426,3.4825132,3.5603833
Men,41,5.484039,0.42368117,3.22734,0.9120571,3.4219704,3.3969672
Men,42,5.5298924,0.62797606,3.0260077,0.676664,3.526601,3.3190532
Men,43,6.1301923,0.58082294,2.8528833,0.761059,3.133136,3.083693
Men,44,6.0315747,0.5585344,2.9738398,0.6495883,3.5496998,3.0639963
Men,45,5.436123,0.5210377,3.0165956,0.76702636,3.3246489,3.6171668
Men,46,6.375721,0.5724905,2.5755258,0.7883133,3.2395935,3.0172677
Men,47,6.1941876,0.6083477,2.3113437,0.7066552,3.3482044,3.0651152
Men,48,6.0567155,0.47548157,2.2767978,0.80036384,3.4498591,3.1516266
Men,49,6.333798,0.676588,2.1087885,0.7889196,3.1544988,3.0561585
Men,50,7.1296167,0.3879116,1.8790083,0.83493114,2.8178592,2.7221506
Men,51,6.6548567,0.4546563,1.8518981,0.8543608,3.2256863,2.94974
Men,52,6.895158,0.49065074,1.3841467,0.8373566,3.2858799,3.1759229
Men,53,6.9149375,0.372196,1.5386168,0.750972,3.1489847,2.9473627
Men,54,6.9587097,0.46342632,1.2622131,0.7630303,3.0122313,3.1084032
Men,55,7.045058,0.51590556,1.0955501,0.80584675,3.2311525,2.7848773
Men,56,6.9891224,0.58310544,1.1020871,0.79537386,3.4294662,2.5314326
Men,57,7.079948,0.43005934,0.92696774,0.64717317,3.167669,3.0782785
Men,58,7.2714696,0.5750237,0.84172946,0.7894426,3.3676794,2.5393164
Men,59,7.405526,0.47614405,0.99424237,0.9195901,3.4887335,2.253585
Men,60,7.3874536,0.5058012,0.8950363,0.85527205,3.5880914,2.241565
Men,61,6.9724627,0.46488634,0.9813407,0.83598673,3.7029834,2.4192789
Men,62,7.8515387,0.43306994,0.7170029,0.7671897,3.8271253,1.5788974
Men,63,7.827791,0.52506006,0.70472455,0.9067964,3.7009912,1.5471232
Men,64,7.8140054,0.48258108,0.6535513,0.7157044,3.9295413,1.5100974
Men,65,7.9399137,0.520152,0.75745165,0.7992815,4.0773,1.2615709
Men,66,7.5037165,0.6085382,0.7346119,0.8884622,4.529459,1.0293142
Men,67,7.6866713,0.55587393,0.7601417,0.760257,4.5886908,0.70045805
Men,68,7.3441696,0.5188014,0.73197037,0.701248,4.920339,0.81654716
Men,69,7.6691103,0.58574945,0.81019485,0.77981544,4.868007,0.44876933
Men,70,7.724542,0.65957123,0.75811875,0.6726782,4.7477093,0.55044854
Men,71,7.6568785,0.59343165,0.7440468,0.6885871,5.079361,0.47613207
Men,72,7.7542305,0.516565,0.49948162,0.7703886,5.0970316,0.4640743
