Entity,Code,Year,Women's leisure time,Men's leisure time,Population,World region according to OWID
Australia,AUS,2020,269,297,25743787,Oceania
Austria,AUT,2020,274,308,8921402,Europe
Belgium,BEL,2020,317,365,11540102,Europe
Canada,CAN,2020,260,298,38171903,North America
China,CHN,2020,211,248,1426106093,Asia
Denmark,DNK,2020,320,340,5831529,Europe
Estonia,EST,2020,278,345,1329675,Europe
Finland,FIN,2020,304,359,5529616,Europe
France,FRA,2020,270,319,65905273,Europe
Germany,DEU,2020,316,346,83628711,Europe
Greece,GRC,2020,311,375,10699370,Europe
Hungary,HUN,2020,257,308,9749459,Europe
India,IND,2020,221,283,1402617694,Asia
Ireland,IRL,2020,287,338,4982602,Europe
Italy,ITA,2020,281,366,59912763,Europe
Japan,JPN,2020,266,292,126304533,Asia
Latvia,LVA,2020,249,290,1901119,Europe
Lithuania,LTU,2020,215,282,2795766,Europe
Luxembourg,LUX,2020,253,299,630597,Europe
Mexico,MEX,2020,159,187,126799053,North America
Netherlands,NLD,2020,300,330,17636732,Europe
New Zealand,NZL,2020,295,306,5069895,Oceania
Norway,NOR,2020,366,370,5379275,Europe
Poland,POL,2020,262,311,38171005,Europe
Portugal,PRT,2020,200,289,10370519,Europe
Slovenia,SVN,2020,283,337,2102421,Europe
South Africa,ZAF,2020,282,334,60562374,Africa
South Korea,KOR,2020,244,272,51858481,Asia
Spain,ESP,2020,284,347,47679482,Europe
Sweden,SWE,2020,306,338,10353682,Europe
Turkey,TUR,2020,270,301,86091691,Asia
United Kingdom,GBR,2020,285,327,67351860,Europe
United States,USA,2020,267,316,339436156,North America
