Entity,Code,Year,Rural women,Urban women,Urban men,Rural men
Argentina,ARG,2021,,4.18,2.05,
Armenia,ARM,2008,5.94,4.88,0.83,1.47
Austria,AUT,2009,4.8,4.18,2.36,2.44
Austria,AUT,2022,3.9,3.54,2.07,2.07
Bangladesh,BGD,2021,5.94,5.75,0.79,0.78
Bolivia,BOL,2001,5.85,5.4,2.85,3.02
Brazil,BRA,2012,3.73,3.08,0.74,0.65
Brazil,BRA,2016,3.05,2.73,1.2,1.1
Brazil,BRA,2017,3.04,2.79,1.26,1.15
Brazil,BRA,2018,3.15,2.86,1.29,1.15
Brazil,BRA,2019,3.19,2.86,1.31,1.17
Brazil,BRA,2022,3.12,2.79,1.38,1.28
Bulgaria,BGR,2023,5.13,4.11,2.1,2.24
Cameroon,CMR,2014,3.65,4,1.15,1.06
Canada,CAN,2016,3.9,3.4,2.3,2.9
Canada,CAN,2023,4.79,3.79,2.68,3.51
Chile,CHL,2015,,5.47,2.42,
Chile,CHL,2023,,4.55,2.59,
China,CHN,2018,3.77,3.67,1.53,1.3
Colombia,COL,2013,5.33,3.93,1.1,1.11
Colombia,COL,2017,5.06,3.81,1.1,1.11
Colombia,COL,2021,5.14,4,1.28,1.17
Costa Rica,CRI,2017,5.91,5.07,2.03,1.98
Dominican Republic,DOM,2016,4.38,3.9,0.95,0.8
Dominican Republic,DOM,2021,3.65,3.45,1.44,1.32
Ecuador,ECU,2012,5,4.61,1.15,1.1
El Salvador,SLV,2010,6.06,5.16,1.98,1.71
El Salvador,SLV,2017,5.35,4.56,1.77,1.55
Fiji,FJI,2016,4.01,3.33,1.18,1.32
Finland,FIN,2000,4.4,3.67,2.36,2.59
Finland,FIN,2010,4.43,3.5,2.46,2.79
Finland,FIN,2021,3.66,3.34,2.5,3.13
Georgia,GEO,2021,4.44,4.16,0.91,0.87
Germany,DEU,2013,3.84,3.76,2.37,2.41
Germany,DEU,2022,3.83,3.76,2.51,2.59
Greece,GRC,2014,4.9,4.23,1.58,2.03
Guatemala,GTM,2014,4.63,3.95,0.69,0.42
Guatemala,GTM,2017,4.94,4.44,0.74,0.51
Honduras,HND,2009,4.24,4.06,1.36,0.75
Hungary,HUN,2010,4.4,4.04,1.9,1.95
India,IND,2024,5.45,5.17,0.7,0.72
Iran,IRN,2009,,5.03,1.23,
Iran,IRN,2015,,5.4,1.18,
Iran,IRN,2020,,5.4,1.08,
Italy,ITA,2003,5.26,5.09,1.6,1.51
Italy,ITA,2009,5.08,4.85,1.65,1.56
Italy,ITA,2014,5.05,4.68,1.83,1.75
Kazakhstan,KAZ,2018,4.78,4.4,1.42,1.58
Kenya,KEN,2021,4.46,4.53,0.97,0.81
Laos,LAO,2017,3.31,3.16,2.21,2.51
Liberia,LBR,2010,1.42,1.6,0.59,0.65
Mexico,MEX,2009,8.47,7.2,2.57,2.18
Mexico,MEX,2014,9.37,5.51,1.9,1.53
Mexico,MEX,2019,6.56,5.6,2.2,1.82
Moldova,MDA,2012,5.56,4.08,2.04,3.13
Mongolia,MNG,2019,4.58,4.66,2.14,1.39
Mongolia,MNG,2023,4.87,4.46,2.28,2.07
Morocco,MAR,2012,5.55,4.64,0.65,0.83
Norway,NOR,2011,4.07,3.65,2.54,2.57
Norway,NOR,2023,3.8,3.41,2.67,3.21
Oman,OMN,2008,4.77,4.38,1.73,1.9
Palestine,PSE,2000,5.43,5.55,0.78,0.77
Palestine,PSE,2013,4.65,4.9,0.72,0.63
Paraguay,PRY,2016,4.68,4.4,1.96,1.66
Peru,PER,2010,6.61,5.37,2,2.61
Poland,POL,2013,4.72,4.2,2.1,2.4
Poland,POL,2023,5.12,4.42,2.88,2.9
Serbia,SRB,2011,5.28,4.58,2.09,2.5
Serbia,SRB,2015,5.07,4.3,2.09,2.08
Serbia,SRB,2022,4.51,3.8,1.67,1.88
South Korea,KOR,2014,3.63,3.5,0.85,0.98
South Korea,KOR,2019,3.23,3.05,0.87,1.02
Switzerland,CHE,2010,4.41,3.61,2.34,2.51
Switzerland,CHE,2013,4.28,3.66,2.49,2.62
Switzerland,CHE,2016,4.11,3.9,2.58,2.68
Switzerland,CHE,2020,4.51,4.05,2.72,2.85
Turkey,TUR,2006,5.55,5.12,0.8,0.94
Uganda,UGA,2018,3.4,3.8,2.1,1.6
Uruguay,URY,2013,,4.77,2.01,
